rule,kind,total,dealer,agent,optimal,cost,frequency,ev_stand,ev_hit,ev_double,ev_split
S17,soft,14,8,hit,hit,0.0,0.000910332271279017,-0.5105175154976174,0.013277219463208494,-0.314440902367339,
S17,soft,15,8,hit,hit,0.0,0.000910332271279017,-0.5105175154976174,-0.027054780502901648,-0.314440902367339,
S17,soft,16,8,hit,hit,0.0,0.000910332271279017,-0.5105175154976174,-0.06679484792009406,-0.3144409023673389,
S17,soft,17,8,hit,hit,0.0,0.000910332271279017,-0.3819509710484472,-0.07291539872964213,-0.2551024972369528,
S17,soft,18,8,stand,stand,0.0,0.000910332271279017,0.10595134861912359,0.039677444270566534,-0.029916811236535473,
S17,soft,19,8,stand,stand,0.0,0.000910332271279017,0.5938536682866944,0.15227028727077518,0.19526887476388188,
S17,soft,20,8,stand,stand,0.0,0.000910332271279017,0.7918151595518983,0.19795370833197612,0.28663571688628364,
S17,pair,2,8,hit,hit,0.0,0.0004551661356395085,-0.5105175154976174,-0.15933415266020512,-1.0210350309952347,-0.1741092318424651
S17,pair,3,8,hit,hit,0.0,0.0004551661356395085,-0.5105175154976174,-0.21724188132078476,-1.0012555626184394,-0.2296695375926127
S17,pair,4,8,hit,hit,0.0,0.0004551661356395085,-0.5105175154976174,-0.059898275658656276,-0.45198684873362777,-0.28645408161262087
S17,pair,5,8,double,double,0.0,0.0004551661356395085,-0.5105175154976174,0.19795370833197612,0.28663571688628364,-0.3439723840985811
S17,pair,6,8,hit,hit,0.0,0.0004551661356395085,-0.5105175154976174,-0.27157480502428616,-0.6156608928303438,-0.40226953893378015
